Zeit in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s;
29.11.2023 13:01:27.25400;-0,00628526927903295;-0,000334577052854002;-0,0168005488812923;
29.11.2023 13:01:27.25500;-0,00640476122498512;-0,000669154105708003;-0,0182344503700733;
29.11.2023 13:01:27.25600;-0,00458848522976041;-0,00157729187048972;-0,0200029294937849;
29.11.2023 13:01:27.25700;-0,00258102314546704;-0,00250932783819735;-0,0210783556103706;
29.11.2023 13:01:27.25800;-0,0011471213074401;-0,00301119382493198;-0,0216280184686184;
29.11.2023 13:01:27.25900;-0,000143390163430013;-0,0028917018789798;-0,0216997116804123;
29.11.2023 13:01:27.26000;-2,3898362996988E-05;-0,00193576735910028;-0,0205525923520327;
29.11.2023 13:01:27.26100;-0,00121881649829447;-0,00105152803007513;-0,0188080128282309;
29.11.2023 13:01:27.26200;-0,00305899046361446;0,000382373807951808;-0,0172785166651011;
29.11.2023 13:01:27.26300;-0,00391933135688305;0,00169678381644189;-0,0165854636579752;
29.11.2023 13:01:27.26400;-0,00334577076137066;0,000740849238354713;-0,0163703784346581;
29.11.2023 13:01:27.26500;-0,00203136075288057;0,000406272156396881;-0,0154622411355376;
29.11.2023 13:01:27.26600;-0,00023898362996988;0,000812544312793761;-0,015318850055337;
29.11.2023 13:01:27.26700;0,00121881649829447;0,000645255786366761;-0,0165615659207106;
29.11.2023 13:01:27.26800;0,00200746231712401;0,000812544312793761;-0,0173741094768047;
29.11.2023 13:01:27.26900;0,00250932783819735;0,00023898362996988;-0,0169917345046997;
29.11.2023 13:01:27.27000;0,00172068213578314;0,000358475430402905;-0,0160835962742567;
29.11.2023 13:01:27.27100;0,00023898362996988;0,00095593451987952;-0,0149842733517289;
29.11.2023 13:01:27.27200;-2,3898362996988E-05;0,00105152803007513;-0,0140522373840213;
29.11.2023 13:01:27.27300;9,5593451987952E-05;0,00131440989207476;-0,0130246067419648;
29.11.2023 13:01:27.27400;0,00129051157273352;0;-0,0112322308123112;
29.11.2023 13:01:27.27500;0,0041344165802002;-0,00112322298809886;-0,0106108728796244;
29.11.2023 13:01:27.27600;0,00535323284566402;-0,00095593451987952;-0,0113517213612795;
29.11.2023 13:01:27.27700;0,00518594449386001;-0,000740849238354713;-0,0100134136155248;
29.11.2023 13:01:27.27800;0,00463628256693482;0,000621357408817858;-0,00661984644830227;
29.11.2023 13:01:27.27900;0,00246153119951487;0,00179237709380686;-0,00317848240956664;
29.11.2023 13:01:27.28000;0,000693052541464567;0,00215085269883275;-0,000836442690342665;
29.11.2023 13:01:27.28100;0,000262882007518783;0,00253322650678456;-0,000286780326860026;
29.11.2023 13:01:27.28200;-0,000501865579281002;0,00215085269883275;0,000860341067891568;
29.11.2023 13:01:27.28300;-0,000310678704408929;0,00172068213578314;0,00341746583580971;
29.11.2023 13:01:27.28400;0,00119491817895323;0,00250932783819735;0,0046123843640089;
29.11.2023 13:01:27.28500;0,00179237709380686;0,00272441329434514;0,00528153823688626;
29.11.2023 13:01:27.28600;0,00138610508292913;0,00172068213578314;0,00745628913864493;
29.11.2023 13:01:27.28700;-2,3898362996988E-05;0,00191186903975904;0,00877069961279631;
29.11.2023 13:01:27.28800;-0,00246153119951487;0,00277221016585827;0,00831663049757481;
29.11.2023 13:01:27.28900;-0,0039910264313221;0,00372814456932247;0,00977443065494299;
29.11.2023 13:01:27.29000;-0,00375204277224839;0,00470797764137387;0,0126422336325049;
29.11.2023 13:01:27.29100;-0,00305899046361446;0,00468407897278666;0,0134069817140698;
29.11.2023 13:01:27.29200;-0,00238983635790646;0,00327407568693161;0,0135025745257735;
29.11.2023 13:01:27.29300;-0,000621357408817858;0,000454068882390857;0,0142195262014866;
29.11.2023 13:01:27.29400;0,000764747615903616;-0,00105152803007513;0,0147213917225599;
29.11.2023 13:01:27.29500;-0,000645255786366761;-0,000191186903975904;0,0153666473925114;
29.11.2023 13:01:27.29600;-0,00291560008190572;0,00141000340227038;0,0177564825862646;
29.11.2023 13:01:27.29700;-0,00420611212030053;0,00282000680454075;0,0215085260570049;
29.11.2023 13:01:27.29800;-0,00559221673756838;0,00351305934600532;0,0234442949295044;
29.11.2023 13:01:27.29900;-0,00640476122498512;0,00341746583580971;0,0228468347340822;
29.11.2023 13:01:27.30000;-0,00556831853464246;0,00200746231712401;0,0219864938408136;
29.11.2023 13:01:27.30100;-0,00463628256693482;-0,000573560653720051;0,0205047950148582;
29.11.2023 13:01:27.30200;-0,00377594120800495;-0,00258102314546704;0,0166332609951496;
29.11.2023 13:01:27.30300;-0,0023659379221499;-0,00138610508292913;0,0135742705315351;
29.11.2023 13:01:27.30400;-0,00227034441195428;9,5593451987952E-05;0,0150798670947552;
29.11.2023 13:01:27.30500;-0,00301119382493198;-9,5593451987952E-05;0,0154383415356278;
29.11.2023 13:01:27.30600;-0,00411051837727427;0,0020791576243937;0,0125466408208013;
29.11.2023 13:01:27.30700;-0,00542492792010307;0,00329797388985753;0,0131679978221655;
29.11.2023 13:01:27.30800;-0,00535323284566402;0,00253322650678456;0,0141239324584603;
29.11.2023 13:01:27.30900;-0,0046123843640089;0,00258102314546704;0,0116624003276229;
29.11.2023 13:01:27.31000;-0,00320238061249256;0,00129051157273352;0,00994171854108572;
29.11.2023 13:01:27.31100;-0,00109932466875762;9,5593451987952E-05;0,00872290227562189;
29.11.2023 13:01:27.31200;-0,000310678704408929;0,00112322298809886;0,0081493416801095;
29.11.2023 13:01:27.31300;-0,00138610508292913;0,00351305934600532;0,00793425645679235;
