  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000540E+01  -0.2597830E-02   0.1000540E+01  -0.4536516E-04
 0.2099800E+00   0.1000540E+01  -0.2597830E-02   0.1000540E+01  -0.4536516E-04
 0.4000000E+00   0.1001982E+01  -0.9542851E-02   0.1001982E+01  -0.1668843E-03
 0.6000000E+00   0.1004433E+01  -0.2132314E-01   0.1004433E+01  -0.3738089E-03
 0.8000000E+00   0.1007867E+01  -0.3775925E-01   0.1007866E+01  -0.6642074E-03
 0.1000000E+01   0.1012281E+01  -0.5872376E-01   0.1012281E+01  -0.1037510E-02
 0.1200000E+01   0.1017668E+01  -0.8392638E-01   0.1017667E+01  -0.1490672E-02
 0.1400000E+01   0.1024003E+01  -0.1127110E+00   0.1024001E+01  -0.2014394E-02
 0.1600000E+01   0.1031221E+01  -0.1435192E+00   0.1031218E+01  -0.2583085E-02
 0.1800000E+01   0.1039167E+01  -0.1722254E+00   0.1039162E+01  -0.3123626E-02
 0.2000000E+01   0.1047432E+01  -0.1855565E+00   0.1047426E+01  -0.3392177E-02
 0.2200000E+01   0.1054825E+01  -0.1220805E+00   0.1054823E+01  -0.2247522E-02
 0.2400000E+01   0.1061191E+01   0.4383901E+00   0.1061160E+01   0.8119465E-02
 0.2600000E+01   0.1106122E+01   0.1681398E+01   0.1105646E+01   0.3245554E-01
 0.2800000E+01   0.1129386E+01   0.2008946E-01   0.1129386E+01   0.3959934E-03
 0.3000000E+01   0.1141134E+01  -0.4279557E+00   0.1141102E+01  -0.8523319E-02
 0.3200000E+01   0.1157254E+01  -0.6098586E+00   0.1157188E+01  -0.1231762E-01
 0.3400000E+01   0.1176738E+01  -0.7472529E+00   0.1176638E+01  -0.1534661E-01
 0.3600000E+01   0.1198881E+01  -0.8878567E+00   0.1198737E+01  -0.1857715E-01
 0.3800000E+01   0.1222698E+01  -0.1045679E+01   0.1222494E+01  -0.2231366E-01
 0.4000000E+01   0.1249039E+01  -0.1143816E+01   0.1248790E+01  -0.2493336E-01
 0.4200000E+01   0.1278690E+01  -0.1267634E+01   0.1278377E+01  -0.2828792E-01
 0.4400000E+01   0.1311095E+01  -0.1411814E+01   0.1310697E+01  -0.3230315E-01
 0.4600000E+01   0.1346441E+01  -0.1569699E+01   0.1345935E+01  -0.3688304E-01
 0.4800000E+01   0.1385012E+01  -0.1740362E+01   0.1384373E+01  -0.4206334E-01
 0.5000000E+01   0.1427125E+01  -0.1924164E+01   0.1426321E+01  -0.4791815E-01
 0.5200000E+01   0.1473136E+01  -0.2121633E+01   0.1472126E+01  -0.5453699E-01
 0.5400000E+01   0.1523442E+01  -0.2332998E+01   0.1522179E+01  -0.6201512E-01
 0.5600000E+01   0.1578482E+01  -0.2557580E+01   0.1576910E+01  -0.7043718E-01
 0.5800000E+01   0.1638729E+01  -0.2792426E+01   0.1636783E+01  -0.7983519E-01
 0.6000000E+01   0.1704677E+01  -0.3028806E+01   0.1702296E+01  -0.9007177E-01
 0.6200000E+01   0.1776893E+01  -0.3242400E+01   0.1774048E+01  -0.1005017E+00
 0.6400000E+01   0.1856739E+01  -0.3369809E+01   0.1853529E+01  -0.1091398E+00
 0.6600000E+01   0.1949760E+01  -0.3332319E+01   0.1946463E+01  -0.1133340E+00
 0.6800000E+01   0.2067712E+01  -0.3171217E+01   0.2064545E+01  -0.1143857E+00
 0.7000000E+01   0.2225395E+01  -0.3608939E+01   0.2220981E+01  -0.1400802E+00
 0.7200000E+01   0.2380668E+01  -0.4826548E+01   0.2372226E+01  -0.2003084E+00
 0.7400000E+01   0.2537347E+01  -0.5889371E+01   0.2523954E+01  -0.2603521E+00
 0.7600000E+01   0.2715526E+01  -0.6824274E+01   0.2696287E+01  -0.3226714E+00
 0.7800000E+01   0.2924568E+01  -0.7777967E+01   0.2897662E+01  -0.3957951E+00
 0.8000000E+01   0.3172463E+01  -0.8840489E+01   0.3134774E+01  -0.4875573E+00
 0.8200000E+01   0.3469583E+01  -0.1008499E+02   0.3415975E+01  -0.6075545E+00
 0.8400000E+01   0.3830350E+01  -0.1159916E+02   0.3752127E+01  -0.7701435E+00
 0.8600000E+01   0.4274564E+01  -0.1351338E+02   0.4156225E+01  -0.9988479E+00
 0.8800000E+01   0.4826835E+01  -0.1602959E+02   0.4639164E+01  -0.1332852E+01
 0.9000000E+01   0.5508881E+01  -0.1939045E+02   0.5196407E+01  -0.1828970E+01
 0.9200000E+01   0.6340614E+01  -0.2358187E+02   0.5811105E+01  -0.2536620E+01
 0.9400000E+01   0.7436806E+01  -0.2866659E+02   0.6525248E+01  -0.3567525E+01
 0.9600000E+01   0.8931478E+01  -0.3607131E+02   0.7219179E+01  -0.5258780E+01
 0.9800000E+01   0.1072709E+02  -0.4696686E+02   0.7320396E+01  -0.7841065E+01
 0.1000000E+02   0.1260912E+02  -0.6124207E+02   0.6066376E+01  -0.1105392E+02
 0.1020000E+02   0.1421803E+02  -0.7983094E+02   0.2510239E+01  -0.1399468E+02
 0.1040000E+02   0.1427403E+02  -0.1018199E+03  -0.2923845E+01  -0.1397137E+02
 0.1060000E+02   0.1252793E+02  -0.1213612E+03  -0.6519924E+01  -0.1069764E+02
 0.1080000E+02   0.1033643E+02  -0.1353604E+03  -0.7354793E+01  -0.7262841E+01
 0.1100000E+02   0.8494462E+01  -0.1446897E+03  -0.6931766E+01  -0.4909837E+01
 0.1120000E+02   0.7105093E+01  -0.1509660E+03  -0.6212208E+01  -0.3448306E+01
 0.1140000E+02   0.6070061E+01  -0.1553653E+03  -0.5517589E+01  -0.2530187E+01
 0.1160000E+02   0.5285158E+01  -0.1585829E+03  -0.4920200E+01  -0.1929904E+01
 0.1180000E+02   0.4675464E+01  -0.1610182E+03  -0.4421221E+01  -0.1520779E+01
 0.1200000E+02   0.4190680E+01  -0.1629087E+03  -0.4005611E+01  -0.1231618E+01
 0.1220000E+02   0.3796991E+01  -0.1643996E+03  -0.3657113E+01  -0.1021110E+01
 0.1240000E+02   0.3471224E+01  -0.1655796E+03  -0.3361862E+01  -0.8644568E+00
 0.1260000E+02   0.3197149E+01  -0.1664989E+03  -0.3108797E+01  -0.7464173E+00
 0.1280000E+02   0.2963222E+01  -0.1671774E+03  -0.2889325E+01  -0.6576378E+00
 0.1300000E+02   0.2761345E+01  -0.1676044E+03  -0.2696975E+01  -0.5927497E+00
 0.1320000E+02   0.2586501E+01  -0.1677354E+03  -0.2527470E+01  -0.5494399E+00
 0.1340000E+02   0.2437474E+01  -0.1674948E+03  -0.2379648E+01  -0.5277832E+00
 0.1360000E+02   0.2318497E+01  -0.1668322E+03  -0.2257537E+01  -0.5281615E+00
 0.1380000E+02   0.2237834E+01  -0.1659059E+03  -0.2170469E+01  -0.5449449E+00
 0.1400000E+02   0.2196364E+01  -0.1651772E+03  -0.2123272E+01  -0.5618977E+00
 0.1420000E+02   0.2183393E+01  -0.1650682E+03  -0.2109667E+01  -0.5625923E+00
 0.1440000E+02   0.2182330E+01  -0.1658982E+03  -0.2116565E+01  -0.5317133E+00
 0.1460000E+02   0.2165703E+01  -0.1675934E+03  -0.2115129E+01  -0.4652950E+00
 0.1480000E+02   0.2121545E+01  -0.1694920E+03  -0.2085965E+01  -0.3869137E+00
 0.1500000E+02   0.2061287E+01  -0.1711085E+03  -0.2036516E+01  -0.3185995E+00
 0.1520000E+02   0.1997992E+01  -0.1723627E+03  -0.1980268E+01  -0.2655378E+00
 0.1540000E+02   0.1938133E+01  -0.1733333E+03  -0.1925028E+01  -0.2250034E+00
 0.1560000E+02   0.1883770E+01  -0.1741093E+03  -0.1873822E+01  -0.1933332E+00
 0.1580000E+02   0.1835089E+01  -0.1747544E+03  -0.1827404E+01  -0.1677744E+00
 0.1600000E+02   0.1791651E+01  -0.1753085E+03  -0.1785648E+01  -0.1465412E+00
 0.1620000E+02   0.1752925E+01  -0.1757941E+03  -0.1748204E+01  -0.1285598E+00
 0.1640000E+02   0.1718528E+01  -0.1762252E+03  -0.1714800E+01  -0.1131390E+00
 0.1660000E+02   0.1688155E+01  -0.1766151E+03  -0.1685210E+01  -0.9967420E-01
 0.1680000E+02   0.1661413E+01  -0.1769760E+03  -0.1659100E+01  -0.8764606E-01
 0.1700000E+02   0.1637867E+01  -0.1773147E+03  -0.1636069E+01  -0.7673460E-01
 0.1720000E+02   0.1617141E+01  -0.1776328E+03  -0.1615761E+01  -0.6679406E-01
 0.1740000E+02   0.1598936E+01  -0.1779289E+03  -0.1597891E+01  -0.5778605E-01
 0.1760000E+02   0.1583017E+01  -0.1781990E+03  -0.1582235E+01  -0.4975097E-01
 0.1780000E+02   0.1569206E+01  -0.1784367E+03  -0.1568622E+01  -0.4280941E-01
 0.1800000E+02   0.1557401E+01  -0.1786323E+03  -0.1556957E+01  -0.3717423E-01
 0.1820000E+02   0.1547627E+01  -0.1787725E+03  -0.1547272E+01  -0.3315407E-01
 0.1840000E+02   0.1540123E+01  -0.1788426E+03  -0.1539809E+01  -0.3110840E-01
 0.1860000E+02   0.1535411E+01  -0.1788325E+03  -0.1535092E+01  -0.3128329E-01
 0.1880000E+02   0.1534155E+01  -0.1787480E+03  -0.1533789E+01  -0.3352144E-01
 0.1900000E+02   0.1536635E+01  -0.1786139E+03  -0.1536186E+01  -0.3716971E-01
 0.1920000E+02   0.1542214E+01  -0.1784537E+03  -0.1541652E+01  -0.4161560E-01
 0.1940000E+02   0.1549375E+01  -0.1782534E+03  -0.1548655E+01  -0.4722365E-01
 0.1960000E+02   0.1556580E+01  -0.1779258E+03  -0.1555560E+01  -0.5633922E-01
 0.1980000E+02   0.1564079E+01  -0.1773115E+03  -0.1562358E+01  -0.7336422E-01
 0.2000000E+02   0.1575051E+01  -0.1762307E+03  -0.1571644E+01  -0.1035428E+00
 0.2020000E+02   0.1595998E+01  -0.1745230E+03  -0.1588711E+01  -0.1523324E+00
 0.2040000E+02   0.1638184E+01  -0.1720951E+03  -0.1622617E+01  -0.2252984E+00
 0.2060000E+02   0.1719934E+01  -0.1690549E+03  -0.1688647E+01  -0.3265622E+00
 0.2080000E+02   0.1866635E+01  -0.1659329E+03  -0.1810658E+01  -0.4537011E+00
 0.2100000E+02   0.2102767E+01  -0.1637594E+03  -0.2018857E+01  -0.5880838E+00
 0.2120000E+02   0.2434804E+01  -0.1636358E+03  -0.2336170E+01  -0.6859871E+00
 0.2140000E+02   0.2839634E+01  -0.1660239E+03  -0.2755572E+01  -0.6858190E+00
 0.2160000E+02   0.3275993E+01  -0.1705804E+03  -0.3231820E+01  -0.5361620E+00
 0.2180000E+02   0.3706375E+01  -0.1766328E+03  -0.3699977E+01  -0.2176946E+00
 0.2200000E+02   0.4106282E+01   0.1764223E+03  -0.4098280E+01   0.2562391E+00
 0.2220000E+02   0.4466361E+01   0.1690218E+03  -0.4384625E+01   0.8505561E+00
 0.2240000E+02   0.4791635E+01   0.1613862E+03  -0.4540992E+01   0.1529432E+01
 0.2260000E+02   0.5091884E+01   0.1535098E+03  -0.4557289E+01   0.2271211E+01
 0.2280000E+02   0.5369145E+01   0.1452422E+03  -0.4411125E+01   0.3060995E+01
 0.2300000E+02   0.5609800E+01   0.1364071E+03  -0.4062939E+01   0.3868124E+01
 0.2320000E+02   0.5783155E+01   0.1269137E+03  -0.3473430E+01   0.4623869E+01
 0.2340000E+02   0.5848752E+01   0.1168489E+03  -0.2641526E+01   0.5218260E+01
 0.2360000E+02   0.5774162E+01   0.1065160E+03  -0.1641494E+01   0.5535922E+01
 0.2380000E+02   0.5555384E+01   0.9636995E+02  -0.6163574E+00   0.5521086E+01
 0.2400000E+02   0.5222491E+01   0.8685952E+02   0.2861104E+00   0.5214648E+01
 0.2420000E+02   0.4824077E+01   0.7828256E+02   0.9796997E+00   0.4723549E+01
 0.2440000E+02   0.4405926E+01   0.7075048E+02   0.1452558E+01   0.4159598E+01
 0.2460000E+02   0.3999914E+01   0.6423646E+02   0.1738595E+01   0.3602305E+01
 0.2480000E+02   0.3622884E+01   0.5863693E+02   0.1885564E+01   0.3093531E+01
