  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000027E+01  -0.1101239E-03   0.1000027E+01  -0.1922076E-05
 0.2099800E+00   0.1000027E+01  -0.1101239E-03   0.1000027E+01  -0.1922076E-05
 0.4000000E+00   0.1000098E+01  -0.4064661E-03   0.1000098E+01  -0.7094868E-05
 0.6000000E+00   0.1000220E+01  -0.9148065E-03   0.1000220E+01  -0.1596989E-04
 0.8000000E+00   0.1000391E+01  -0.1637333E-02   0.1000391E+01  -0.2858801E-04
 0.1000000E+01   0.1000612E+01  -0.2587531E-02   0.1000612E+01  -0.4518857E-04
 0.1200000E+01   0.1000886E+01  -0.3790850E-02   0.1000886E+01  -0.6622143E-04
 0.1400000E+01   0.1001216E+01  -0.5299326E-02   0.1001216E+01  -0.9260313E-04
 0.1600000E+01   0.1001608E+01  -0.7230515E-02   0.1001608E+01  -0.1263993E-03
 0.1800000E+01   0.1002078E+01  -0.9890193E-02   0.1002078E+01  -0.1729752E-03
 0.2000000E+01   0.1002662E+01  -0.1427306E-01   0.1002662E+01  -0.2497750E-03
 0.2200000E+01   0.1003467E+01  -0.2530455E-01   0.1003467E+01  -0.4431790E-03
 0.2400000E+01   0.1004451E+01  -0.8412926E-01   0.1004450E+01  -0.1474868E-02
 0.2600000E+01   0.1002534E+01  -0.2087735E+00   0.1002527E+01  -0.3653010E-02
 0.2800000E+01   0.1002661E+01  -0.5913278E-01   0.1002661E+01  -0.1034808E-02
 0.3000000E+01   0.1003768E+01  -0.3260575E-01   0.1003767E+01  -0.5712217E-03
 0.3200000E+01   0.1004675E+01  -0.2940599E-01   0.1004675E+01  -0.5156309E-03
 0.3400000E+01   0.1005523E+01  -0.3218290E-01   0.1005523E+01  -0.5647998E-03
 0.3600000E+01   0.1006333E+01  -0.4504325E-01   0.1006333E+01  -0.7911320E-03
 0.3800000E+01   0.1006738E+01  -0.6492100E-01   0.1006737E+01  -0.1140720E-02
 0.4000000E+01   0.1007224E+01  -0.4448902E-01   0.1007223E+01  -0.7820889E-03
 0.4200000E+01   0.1008046E+01  -0.3795361E-01   0.1008046E+01  -0.6677455E-03
 0.4400000E+01   0.1008843E+01  -0.3725389E-01   0.1008843E+01  -0.6559527E-03
 0.4600000E+01   0.1009609E+01  -0.3774976E-01   0.1009609E+01  -0.6651885E-03
 0.4800000E+01   0.1010353E+01  -0.3837452E-01   0.1010353E+01  -0.6766957E-03
 0.5000000E+01   0.1011074E+01  -0.3879152E-01   0.1011073E+01  -0.6845370E-03
 0.5200000E+01   0.1011768E+01  -0.3886060E-01   0.1011768E+01  -0.6862269E-03
 0.5400000E+01   0.1012430E+01  -0.3856499E-01   0.1012430E+01  -0.6814528E-03
 0.5600000E+01   0.1013057E+01  -0.3808155E-01   0.1013057E+01  -0.6733268E-03
 0.5800000E+01   0.1013648E+01  -0.3803628E-01   0.1013647E+01  -0.6729184E-03
 0.6000000E+01   0.1014209E+01  -0.4026435E-01   0.1014208E+01  -0.7127305E-03
 0.6200000E+01   0.1014753E+01  -0.5028126E-01   0.1014753E+01  -0.8905203E-03
 0.6400000E+01   0.1015195E+01  -0.8485488E-01   0.1015194E+01  -0.1503500E-02
 0.6600000E+01   0.1014683E+01  -0.1570532E+00   0.1014679E+01  -0.2781340E-02
 0.6800000E+01   0.1012959E+01  -0.2154807E+00   0.1012952E+01  -0.3809577E-02
 0.7000000E+01   0.1008916E+01  -0.1978324E+00   0.1008910E+01  -0.3483605E-02
 0.7200000E+01   0.1006467E+01  -0.2271071E-01   0.1006467E+01  -0.3989401E-03
 0.7400000E+01   0.1005064E+01   0.1066930E+00   0.1005063E+01   0.1871573E-02
 0.7600000E+01   0.1003080E+01   0.2100555E+00   0.1003073E+01   0.3677443E-02
 0.7800000E+01   0.1000155E+01   0.3196689E+00   0.1000140E+01   0.5580111E-02
 0.8000000E+01   0.9961051E+00   0.4545859E+00   0.9960737E+00   0.7903034E-02
 0.8200000E+01   0.9906795E+00   0.6325724E+00   0.9906192E+00   0.1093735E-01
 0.8400000E+01   0.9835235E+00   0.8778335E+00   0.9834081E+00   0.1506806E-01
 0.8600000E+01   0.9741558E+00   0.1230120E+01   0.9739313E+00   0.2091318E-01
 0.8800000E+01   0.9620605E+00   0.1765252E+01   0.9616039E+00   0.2963587E-01
 0.9000000E+01   0.9476586E+00   0.2606195E+01   0.9466784E+00   0.4309098E-01
 0.9200000E+01   0.9319451E+00   0.3757259E+01   0.9299421E+00   0.6106994E-01
 0.9400000E+01   0.9099492E+00   0.5327852E+01   0.9060179E+00   0.8449297E-01
 0.9600000E+01   0.8791449E+00   0.8195025E+01   0.8701676E+00   0.1253159E+00
 0.9800000E+01   0.8516848E+00   0.1402747E+02   0.8262873E+00   0.2064374E+00
 0.1000000E+02   0.8921055E+00   0.2412590E+02   0.8141796E+00   0.3646419E+00
 0.1020000E+02   0.1108040E+01   0.3118637E+02   0.9479144E+00   0.5737692E+00
 0.1040000E+02   0.1395870E+01   0.2647620E+02   0.1249471E+01   0.6223152E+00
 0.1060000E+02   0.1521528E+01   0.1742320E+02   0.1451719E+01   0.4555868E+00
 0.1080000E+02   0.1520681E+01   0.1084040E+02   0.1493544E+01   0.2860004E+00
 0.1100000E+02   0.1486541E+01   0.6900262E+01   0.1475774E+01   0.1785951E+00
 0.1120000E+02   0.1452524E+01   0.4537762E+01   0.1447971E+01   0.1149181E+00
 0.1140000E+02   0.1425521E+01   0.3059913E+01   0.1423488E+01   0.7609454E-01
 0.1160000E+02   0.1405688E+01   0.2084999E+01   0.1404757E+01   0.5114183E-01
