  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000059E+01  -0.3077426E-03   0.1000059E+01  -0.5371436E-05
 0.2099800E+00   0.1000059E+01  -0.3077426E-03   0.1000059E+01  -0.5371436E-05
 0.4000000E+00   0.1000216E+01  -0.1138270E-02   0.1000216E+01  -0.1987084E-04
 0.6000000E+00   0.1000483E+01  -0.2568034E-02   0.1000483E+01  -0.4484229E-04
 0.8000000E+00   0.1000860E+01  -0.4607673E-02   0.1000860E+01  -0.8048820E-04
 0.1000000E+01   0.1001348E+01  -0.7296495E-02   0.1001348E+01  -0.1275195E-03
 0.1200000E+01   0.1001952E+01  -0.1069719E-01   0.1001952E+01  -0.1870657E-03
 0.1400000E+01   0.1002679E+01  -0.1491834E-01   0.1002679E+01  -0.2610718E-03
 0.1600000E+01   0.1003539E+01  -0.2017030E-01   0.1003539E+01  -0.3532842E-03
 0.1800000E+01   0.1004553E+01  -0.2692528E-01   0.1004553E+01  -0.4720746E-03
 0.2000000E+01   0.1005763E+01  -0.3648310E-01   0.1005763E+01  -0.6404200E-03
 0.2200000E+01   0.1007271E+01  -0.5374461E-01   0.1007270E+01  -0.9448403E-03
 0.2400000E+01   0.1009250E+01  -0.1091391E+00   0.1009248E+01  -0.1922456E-02
 0.2600000E+01   0.1010037E+01  -0.2701626E+00   0.1010026E+01  -0.4762535E-02
 0.2800000E+01   0.1007651E+01  -0.1897264E+00   0.1007646E+01  -0.3336681E-02
 0.3000000E+01   0.1009864E+01  -0.1111245E+00   0.1009862E+01  -0.1958618E-02
 0.3200000E+01   0.1012177E+01  -0.1023847E+00   0.1012175E+01  -0.1808708E-02
 0.3400000E+01   0.1014478E+01  -0.1155215E+00   0.1014476E+01  -0.2045421E-02
 0.3600000E+01   0.1016937E+01  -0.1538614E+00   0.1016933E+01  -0.2730867E-02
 0.3800000E+01   0.1018937E+01  -0.2463112E+00   0.1018927E+01  -0.4380336E-02
 0.4000000E+01   0.1018655E+01  -0.2894053E+00   0.1018642E+01  -0.5145280E-02
 0.4200000E+01   0.1020464E+01  -0.2067463E+00   0.1020457E+01  -0.3682237E-02
 0.4400000E+01   0.1023287E+01  -0.1848500E+00   0.1023281E+01  -0.3301363E-02
 0.4600000E+01   0.1026159E+01  -0.1889358E+00   0.1026154E+01  -0.3383807E-02
 0.4800000E+01   0.1029082E+01  -0.2020428E+00   0.1029076E+01  -0.3628858E-02
 0.5000000E+01   0.1032113E+01  -0.2197886E+00   0.1032105E+01  -0.3959209E-02
 0.5200000E+01   0.1035290E+01  -0.2410610E+00   0.1035281E+01  -0.4355772E-02
 0.5400000E+01   0.1038647E+01  -0.2658623E+00   0.1038636E+01  -0.4819486E-02
 0.5600000E+01   0.1042219E+01  -0.2948924E+00   0.1042205E+01  -0.5364112E-02
 0.5800000E+01   0.1046044E+01  -0.3297134E+00   0.1046026E+01  -0.6019514E-02
 0.6000000E+01   0.1050176E+01  -0.3734796E+00   0.1050154E+01  -0.6845471E-02
 0.6200000E+01   0.1054683E+01  -0.4328915E+00   0.1054653E+01  -0.7968458E-02
 0.6400000E+01   0.1059611E+01  -0.5232958E+00   0.1059567E+01  -0.9677543E-02
 0.6600000E+01   0.1064708E+01  -0.6782782E+00   0.1064634E+01  -0.1260392E-01
 0.6800000E+01   0.1068450E+01  -0.9188509E+00   0.1068313E+01  -0.1713397E-01
 0.7000000E+01   0.1069552E+01  -0.1139706E+01   0.1069340E+01  -0.2127371E-01
 0.7200000E+01   0.1068246E+01  -0.1207672E+01   0.1068009E+01  -0.2251466E-01
 0.7400000E+01   0.1069504E+01  -0.1027955E+01   0.1069332E+01  -0.1918714E-01
 0.7600000E+01   0.1074818E+01  -0.8840052E+00   0.1074690E+01  -0.1658250E-01
 0.7800000E+01   0.1081408E+01  -0.8369587E+00   0.1081293E+01  -0.1579631E-01
 0.8000000E+01   0.1088323E+01  -0.8476024E+00   0.1088204E+01  -0.1609947E-01
 0.8200000E+01   0.1095477E+01  -0.8922743E+00   0.1095344E+01  -0.1705931E-01
 0.8400000E+01   0.1102952E+01  -0.9625245E+00   0.1102797E+01  -0.1852787E-01
 0.8600000E+01   0.1110846E+01  -0.1057850E+01   0.1110657E+01  -0.2050834E-01
 0.8800000E+01   0.1119208E+01  -0.1182165E+01   0.1118969E+01  -0.2309061E-01
 0.9000000E+01   0.1127959E+01  -0.1335171E+01   0.1127653E+01  -0.2628259E-01
 0.9200000E+01   0.1137347E+01  -0.1487427E+01   0.1136964E+01  -0.2952279E-01
 0.9400000E+01   0.1149728E+01  -0.1634146E+01   0.1149260E+01  -0.3278720E-01
 0.9600000E+01   0.1167783E+01  -0.2029942E+01   0.1167050E+01  -0.4136492E-01
 0.9800000E+01   0.1184978E+01  -0.3008974E+01   0.1183344E+01  -0.6220232E-01
 0.1000000E+02   0.1191269E+01  -0.4425198E+01   0.1187718E+01  -0.9191537E-01
 0.1020000E+02   0.1181214E+01  -0.5833179E+01   0.1175097E+01  -0.1200496E+00
 0.1040000E+02   0.1159135E+01  -0.6715032E+01   0.1151183E+01  -0.1355391E+00
 0.1060000E+02   0.1132413E+01  -0.6891043E+01   0.1124233E+01  -0.1358688E+00
 0.1080000E+02   0.1110212E+01  -0.6193650E+01   0.1103731E+01  -0.1197798E+00
 0.1100000E+02   0.1103324E+01  -0.5069604E+01   0.1099008E+01  -0.9749621E-01
 0.1120000E+02   0.1107910E+01  -0.4124467E+01   0.1105041E+01  -0.7968461E-01
 0.1140000E+02   0.1117328E+01  -0.3418318E+01   0.1115340E+01  -0.6662125E-01
 0.1160000E+02   0.1129859E+01  -0.2889639E+01   0.1128423E+01  -0.5695885E-01
 0.1180000E+02   0.1144394E+01  -0.2542990E+01   0.1143267E+01  -0.5077560E-01
 0.1200000E+02   0.1159633E+01  -0.2351065E+01   0.1158656E+01  -0.4757080E-01
 0.1220000E+02   0.1174986E+01  -0.2269616E+01   0.1174064E+01  -0.4653170E-01
 0.1240000E+02   0.1190380E+01  -0.2266134E+01   0.1189449E+01  -0.4706905E-01
 0.1260000E+02   0.1205938E+01  -0.2322620E+01   0.1204947E+01  -0.4887215E-01
 0.1280000E+02   0.1221835E+01  -0.2431859E+01   0.1220735E+01  -0.5184395E-01
 0.1300000E+02   0.1238255E+01  -0.2594852E+01   0.1236985E+01  -0.5605980E-01
 0.1320000E+02   0.1255355E+01  -0.2820282E+01   0.1253835E+01  -0.6176768E-01
 0.1340000E+02   0.1273225E+01  -0.3125764E+01   0.1271331E+01  -0.6942619E-01
 0.1360000E+02   0.1291771E+01  -0.3540355E+01   0.1289305E+01  -0.7976882E-01
 0.1380000E+02   0.1310445E+01  -0.4106078E+01   0.1307082E+01  -0.9383214E-01
 0.1400000E+02   0.1327729E+01  -0.4869425E+01   0.1322937E+01  -0.1127046E+00
 0.1420000E+02   0.1340600E+01  -0.5842174E+01   0.1333637E+01  -0.1364578E+00
 0.1440000E+02   0.1345272E+01  -0.6933974E+01   0.1335433E+01  -0.1624086E+00
 0.1460000E+02   0.1339435E+01  -0.7947501E+01   0.1326570E+01  -0.1851979E+00
 0.1480000E+02   0.1323350E+01  -0.8600994E+01   0.1308467E+01  -0.1979103E+00
 0.1500000E+02   0.1303436E+01  -0.8565992E+01   0.1288897E+01  -0.1941448E+00
 0.1520000E+02   0.1291887E+01  -0.7859496E+01   0.1279752E+01  -0.1766582E+00
 0.1540000E+02   0.1294590E+01  -0.6919827E+01   0.1285160E+01  -0.1559727E+00
 0.1560000E+02   0.1308472E+01  -0.6111902E+01   0.1301034E+01  -0.1393138E+00
 0.1580000E+02   0.1328611E+01  -0.5541677E+01   0.1322401E+01  -0.1283036E+00
 0.1600000E+02   0.1351836E+01  -0.5183582E+01   0.1346308E+01  -0.1221346E+00
 0.1620000E+02   0.1376629E+01  -0.4987009E+01   0.1371418E+01  -0.1196702E+00
 0.1640000E+02   0.1402330E+01  -0.4909962E+01   0.1397185E+01  -0.1200257E+00
 0.1660000E+02   0.1428664E+01  -0.4920741E+01   0.1423399E+01  -0.1225474E+00
 0.1680000E+02   0.1455584E+01  -0.4994222E+01   0.1450057E+01  -0.1267162E+00
 0.1700000E+02   0.1483260E+01  -0.5111384E+01   0.1477362E+01  -0.1321469E+00
 0.1720000E+02   0.1512020E+01  -0.5263297E+01   0.1505645E+01  -0.1387017E+00
 0.1740000E+02   0.1542135E+01  -0.5449884E+01   0.1535164E+01  -0.1464644E+00
 0.1760000E+02   0.1573769E+01  -0.5672943E+01   0.1566061E+01  -0.1555668E+00
 0.1780000E+02   0.1607059E+01  -0.5933353E+01   0.1598450E+01  -0.1661242E+00
 0.1800000E+02   0.1642170E+01  -0.6232005E+01   0.1632466E+01  -0.1782653E+00
 0.1820000E+02   0.1679298E+01  -0.6570876E+01   0.1668266E+01  -0.1921657E+00
