  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000026E+01  -0.1097015E-03   0.1000026E+01  -0.1914701E-05
 0.2099800E+00   0.1000026E+01  -0.1097015E-03   0.1000026E+01  -0.1914701E-05
 0.4000000E+00   0.1000094E+01  -0.4048688E-03   0.1000094E+01  -0.7066960E-05
 0.6000000E+00   0.1000211E+01  -0.9110437E-03   0.1000211E+01  -0.1590407E-04
 0.8000000E+00   0.1000375E+01  -0.1630046E-02   0.1000375E+01  -0.2846035E-04
 0.1000000E+01   0.1000588E+01  -0.2574419E-02   0.1000588E+01  -0.4495852E-04
 0.1200000E+01   0.1000851E+01  -0.3767288E-02   0.1000851E+01  -0.6580752E-04
 0.1400000E+01   0.1001167E+01  -0.5254616E-02   0.1001167E+01  -0.9181735E-04
 0.1600000E+01   0.1001542E+01  -0.7136551E-02   0.1001542E+01  -0.1247483E-03
 0.1800000E+01   0.1001987E+01  -0.9660519E-02   0.1001987E+01  -0.1689429E-03
 0.2000000E+01   0.1002531E+01  -0.1356740E-01   0.1002531E+01  -0.2373952E-03
 0.2200000E+01   0.1003251E+01  -0.2196795E-01   0.1003250E+01  -0.3846593E-03
 0.2400000E+01   0.1004300E+01  -0.5979919E-01   0.1004299E+01  -0.1048180E-02
 0.2600000E+01   0.1004337E+01  -0.1950958E+00   0.1004331E+01  -0.3419826E-02
 0.2800000E+01   0.1002328E+01  -0.8144703E-01   0.1002327E+01  -0.1424827E-02
 0.3000000E+01   0.1003435E+01  -0.3821433E-01   0.1003435E+01  -0.6692571E-03
 0.3200000E+01   0.1004384E+01  -0.3097679E-01   0.1004384E+01  -0.5430171E-03
 0.3400000E+01   0.1005224E+01  -0.3174532E-01   0.1005224E+01  -0.5569549E-03
 0.3600000E+01   0.1006054E+01  -0.3927331E-01   0.1006054E+01  -0.6895981E-03
 0.3800000E+01   0.1006709E+01  -0.5795898E-01   0.1006708E+01  -0.1018361E-02
 0.4000000E+01   0.1006933E+01  -0.5445189E-01   0.1006933E+01  -0.9569537E-03
 0.4200000E+01   0.1007699E+01  -0.4145215E-01   0.1007698E+01  -0.7290462E-03
 0.4400000E+01   0.1008498E+01  -0.3893988E-01   0.1008498E+01  -0.6854047E-03
 0.4600000E+01   0.1009265E+01  -0.3906649E-01   0.1009264E+01  -0.6881559E-03
 0.4800000E+01   0.1010007E+01  -0.3969066E-01   0.1010007E+01  -0.6996647E-03
 0.5000000E+01   0.1010728E+01  -0.4024720E-01   0.1010728E+01  -0.7099817E-03
 0.5200000E+01   0.1011425E+01  -0.4051459E-01   0.1011425E+01  -0.7151917E-03
 0.5400000E+01   0.1012095E+01  -0.4040294E-01   0.1012094E+01  -0.7136930E-03
 0.5600000E+01   0.1012731E+01  -0.3994918E-01   0.1012731E+01  -0.7061215E-03
 0.5800000E+01   0.1013332E+01  -0.3943143E-01   0.1013332E+01  -0.6973833E-03
 0.6000000E+01   0.1013897E+01  -0.3970905E-01   0.1013896E+01  -0.7026848E-03
 0.6200000E+01   0.1014433E+01  -0.4321772E-01   0.1014433E+01  -0.7651785E-03
 0.6400000E+01   0.1014943E+01  -0.5710412E-01   0.1014942E+01  -0.1011547E-02
 0.6600000E+01   0.1015231E+01  -0.1002234E+00   0.1015229E+01  -0.1775869E-02
 0.6800000E+01   0.1014370E+01  -0.1667216E+00   0.1014366E+01  -0.2951652E-02
 0.7000000E+01   0.1012341E+01  -0.2203528E+00   0.1012333E+01  -0.3893334E-02
 0.7200000E+01   0.1008392E+01  -0.1594128E+00   0.1008388E+01  -0.2805624E-02
 0.7400000E+01   0.1006323E+01   0.6746666E-02   0.1006323E+01   0.1184961E-03
 0.7600000E+01   0.1004861E+01   0.1295445E+00   0.1004858E+01   0.2271967E-02
 0.7800000E+01   0.1002779E+01   0.2343415E+00   0.1002771E+01   0.4101387E-02
