  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000043E+01  -0.2075470E-03   0.1000043E+01  -0.3622532E-05
 0.2099800E+00   0.1000043E+01  -0.2075470E-03   0.1000043E+01  -0.3622532E-05
 0.4000000E+00   0.1000157E+01  -0.7689089E-03   0.1000157E+01  -0.1342210E-04
 0.6000000E+00   0.1000351E+01  -0.1737068E-02   0.1000351E+01  -0.3032820E-04
 0.8000000E+00   0.1000625E+01  -0.3119940E-02   0.1000625E+01  -0.5448726E-04
 0.1000000E+01   0.1000980E+01  -0.4943679E-02   0.1000980E+01  -0.8636799E-04
 0.1200000E+01   0.1001417E+01  -0.7248246E-02   0.1001417E+01  -0.1266851E-03
 0.1400000E+01   0.1001943E+01  -0.1010053E-01   0.1001943E+01  -0.1766300E-03
 0.1600000E+01   0.1002563E+01  -0.1362648E-01   0.1002563E+01  -0.2384364E-03
 0.1800000E+01   0.1003290E+01  -0.1810172E-01   0.1003290E+01  -0.3169741E-03
 0.2000000E+01   0.1004151E+01  -0.2426456E-01   0.1004151E+01  -0.4252545E-03
 0.2200000E+01   0.1005210E+01  -0.3480402E-01   0.1005210E+01  -0.6106098E-03
 0.2400000E+01   0.1006615E+01  -0.6635590E-01   0.1006615E+01  -0.1165790E-02
 0.2600000E+01   0.1007614E+01  -0.1728004E+00   0.1007609E+01  -0.3038894E-02
 0.2800000E+01   0.1005567E+01  -0.1403159E+00   0.1005564E+01  -0.2462605E-02
 0.3000000E+01   0.1007183E+01  -0.7707971E-01   0.1007182E+01  -0.1354958E-02
 0.3200000E+01   0.1008860E+01  -0.6952606E-01   0.1008859E+01  -0.1224209E-02
 0.3400000E+01   0.1010506E+01  -0.7762350E-01   0.1010506E+01  -0.1369019E-02
 0.3600000E+01   0.1012275E+01  -0.1014357E+00   0.1012273E+01  -0.1792118E-02
 0.3800000E+01   0.1013845E+01  -0.1641842E+00   0.1013841E+01  -0.2905223E-02
 0.4000000E+01   0.1013649E+01  -0.2136343E+00   0.1013642E+01  -0.3779505E-02
 0.4200000E+01   0.1014784E+01  -0.1457659E+00   0.1014781E+01  -0.2581704E-02
 0.4400000E+01   0.1016810E+01  -0.1270593E+00   0.1016807E+01  -0.2254878E-02
 0.4600000E+01   0.1018853E+01  -0.1290253E+00   0.1018850E+01  -0.2294369E-02
 0.4800000E+01   0.1020913E+01  -0.1375660E+00   0.1020910E+01  -0.2451188E-02
 0.5000000E+01   0.1023034E+01  -0.1492207E+00   0.1023030E+01  -0.2664378E-02
 0.5200000E+01   0.1025244E+01  -0.1630888E+00   0.1025239E+01  -0.2918286E-02
 0.5400000E+01   0.1027563E+01  -0.1790581E+00   0.1027558E+01  -0.3211287E-02
 0.5600000E+01   0.1030012E+01  -0.1974473E+00   0.1030006E+01  -0.3549523E-02
 0.5800000E+01   0.1032614E+01  -0.2190507E+00   0.1032607E+01  -0.3947836E-02
 0.6000000E+01   0.1035401E+01  -0.2455050E+00   0.1035391E+01  -0.4436544E-02
 0.6200000E+01   0.1038414E+01  -0.2803124E+00   0.1038402E+01  -0.5080291E-02
 0.6400000E+01   0.1041702E+01  -0.3316659E+00   0.1041685E+01  -0.6030027E-02
 0.6600000E+01   0.1045203E+01  -0.4194206E+00   0.1045175E+01  -0.7651098E-02
 0.6800000E+01   0.1048142E+01  -0.5693345E+00   0.1048090E+01  -0.1041496E-01
 0.7000000E+01   0.1049449E+01  -0.7283795E+00   0.1049364E+01  -0.1334088E-01
 0.7200000E+01   0.1048649E+01  -0.8351936E+00   0.1048538E+01  -0.1528549E-01
 0.7400000E+01   0.1048241E+01  -0.7176482E+00   0.1048159E+01  -0.1312922E-01
 0.7600000E+01   0.1051290E+01  -0.5862336E+00   0.1051235E+01  -0.1075630E-01
 0.7800000E+01   0.1055424E+01  -0.5316577E+00   0.1055379E+01  -0.9793330E-02
 0.8000000E+01   0.1059676E+01  -0.5206336E+00   0.1059632E+01  -0.9628902E-02
 0.8200000E+01   0.1063924E+01  -0.5303279E+00   0.1063878E+01  -0.9847503E-02
 0.8400000E+01   0.1068194E+01  -0.5506040E+00   0.1068144E+01  -0.1026503E-01
 0.8600000E+01   0.1072519E+01  -0.5761103E+00   0.1072465E+01  -0.1078402E-01
 0.8800000E+01   0.1076916E+01  -0.6017904E+00   0.1076856E+01  -0.1131088E-01
 0.9000000E+01   0.1081390E+01  -0.6162308E+00   0.1081328E+01  -0.1163040E-01
 0.9200000E+01   0.1086302E+01  -0.5838276E+00   0.1086246E+01  -0.1106891E-01
 0.9400000E+01   0.1093992E+01  -0.4889388E+00   0.1093952E+01  -0.9335568E-02
 0.9600000E+01   0.1107178E+01  -0.5777461E+00   0.1107122E+01  -0.1116412E-01
 0.9800000E+01   0.1119583E+01  -0.1170949E+01   0.1119349E+01  -0.2287922E-01
 0.1000000E+02   0.1122293E+01  -0.2056768E+01   0.1121570E+01  -0.4027873E-01
 0.1020000E+02   0.1111759E+01  -0.2758315E+01   0.1110471E+01  -0.5350126E-01
 0.1040000E+02   0.1095522E+01  -0.2641292E+01   0.1094359E+01  -0.5048486E-01
 0.1060000E+02   0.1090069E+01  -0.1837345E+01   0.1089508E+01  -0.3495002E-01
 0.1080000E+02   0.1099018E+01  -0.1115108E+01   0.1098810E+01  -0.2138808E-01
 0.1100000E+02   0.1112963E+01  -0.8912466E+00   0.1112828E+01  -0.1731164E-01
 0.1120000E+02   0.1123991E+01  -0.9646009E+00   0.1123832E+01  -0.1892202E-01
 0.1140000E+02   0.1131746E+01  -0.1059002E+01   0.1131553E+01  -0.2091697E-01
 0.1160000E+02   0.1138964E+01  -0.1083988E+01   0.1138760E+01  -0.2154696E-01
 0.1180000E+02   0.1147112E+01  -0.1095693E+01   0.1146903E+01  -0.2193542E-01
 0.1200000E+02   0.1155920E+01  -0.1132739E+01   0.1155694E+01  -0.2285108E-01
 0.1220000E+02   0.1165072E+01  -0.1195711E+01   0.1164818E+01  -0.2431222E-01
 0.1240000E+02   0.1174511E+01  -0.1278997E+01   0.1174218E+01  -0.2621609E-01
 0.1260000E+02   0.1184292E+01  -0.1380077E+01   0.1183949E+01  -0.2852315E-01
 0.1280000E+02   0.1194503E+01  -0.1499797E+01   0.1194093E+01  -0.3126419E-01
 0.1300000E+02   0.1205237E+01  -0.1641958E+01   0.1204742E+01  -0.3453442E-01
 0.1320000E+02   0.1216588E+01  -0.1813627E+01   0.1215979E+01  -0.3850316E-01
 0.1340000E+02   0.1228634E+01  -0.2026342E+01   0.1227865E+01  -0.4344322E-01
 0.1360000E+02   0.1241389E+01  -0.2298290E+01   0.1240391E+01  -0.4978215E-01
 0.1380000E+02   0.1254689E+01  -0.2657074E+01   0.1253340E+01  -0.5816495E-01
 0.1400000E+02   0.1267904E+01  -0.3139760E+01   0.1266001E+01  -0.6944532E-01
 0.1420000E+02   0.1279477E+01  -0.3777759E+01   0.1276697E+01  -0.8430038E-01
 0.1440000E+02   0.1286855E+01  -0.4550744E+01   0.1282798E+01  -0.1021016E+00
