Time in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s
29.11.2023 12:38:36.14000;0,001218816;0,000334577;-0,004755774
29.11.2023 12:38:36.14100;0,00262882;-7,17E-05;-0,004994757
29.11.2023 12:38:36.14200;0,002748312;0,00028678;-0,003823738
29.11.2023 12:38:36.14300;0,002055259;0,001386105;-0,001147121
29.11.2023 12:38:36.14400;0,000621357;0,003011194;0,001720682
29.11.2023 12:38:36.14500;-0,001075426;0,004397299;0,004014925
29.11.2023 12:38:36.14600;-0,001553394;0,005090351;0,006237472
29.11.2023 12:38:36.14700;-0,000836443;0,005090351;0,007241204
29.11.2023 12:38:36.14800;0,000764748;0,004612384;0,006691542
29.11.2023 12:38:36.14900;0,002533227;0,004468994;0,005592217
29.11.2023 12:38:36.15000;0,003632551;0,004277807;0,004684079
29.11.2023 12:38:36.15100;0,003991026;0,004038823;0,00408662
29.11.2023 12:38:36.15200;0,003584754;0,004803571;0,003465262
29.11.2023 12:38:36.15300;0,002342039;0,005974591;0,003178482
29.11.2023 12:38:36.15400;0,000860341;0,006619846;0,003704246
29.11.2023 12:38:36.15500;-9,56E-05;0,006930525;0,004851367
29.11.2023 12:38:36.15600;-0,000167289;0,006524253;0,005759505
29.11.2023 12:38:36.15700;0,000740849;0,005855099;0,005974591
29.11.2023 12:38:36.15800;0,002389836;0,004994757;0,005855099
29.11.2023 12:38:36.15900;0,00423001;0,003871535;0,005783404
29.11.2023 12:38:36.16000;0,004970859;0,003369669;0,006046286
29.11.2023 12:38:36.16100;0,00423001;0,00277221;0,006428659
29.11.2023 12:38:36.16200;0,003011194;0,0029156;0,005783404
29.11.2023 12:38:36.16300;0,001625089;0,003226279;0,005162046
29.11.2023 12:38:36.16400;0,000262882;0,003274076;0,005902896
29.11.2023 12:38:36.16500;-4,78E-05;0,003465262;0,005902896
29.11.2023 12:38:36.16600;0,000501866;0,003154584;0,004564587
29.11.2023 12:38:36.16700;0,000979833;0,003345771;0,003417466
29.11.2023 12:38:36.16800;0,001648987;0,000740849;0,003704246
29.11.2023 12:38:36.16900;0,001696784;-0,001887971;0,004707978
29.11.2023 12:38:36.17000;0,001075426;-0,0014578;0,004492892
29.11.2023 12:38:36.17100;0,000430171;-0,00174458;0,004277807
29.11.2023 12:38:36.17200;-0,000597459;-0,001577292;0,004660181
29.11.2023 12:38:36.17300;-0,001792377;-0,001338308;0,004899164
29.11.2023 12:38:36.17400;-0,002533227;-0,001290512;0,004445096
29.11.2023 12:38:36.17500;-0,001983564;-0,001003731;0,002198649
29.11.2023 12:38:36.17600;-0,001123223;-0,001816276;4,78E-05
29.11.2023 12:38:36.17700;-0,000430171;-0,002389836;-0,00014339
29.11.2023 12:38:36.17800;9,56E-05;-0,002270344;-0,000238984
29.11.2023 12:38:36.17900;-0,000573561;-0,002103056;-0,000382374
29.11.2023 12:38:36.18000;-0,00160119;-0,001911869;0,001625089
29.11.2023 12:38:36.18100;-0,00262882;-0,001481698;0,004038823
29.11.2023 12:38:36.18200;-0,003775941;-0,001075426;0,005162046
29.11.2023 12:38:36.18300;-0,004349502;-0,000645256;0,005926794
29.11.2023 12:38:36.18400;-0,003393568;-0,000788646;0,006309167
29.11.2023 12:38:36.18500;-0,001816276;-0,001529495;0,005640014
29.11.2023 12:38:36.18600;-0,001696784;-0,001983564;0,003513059
29.11.2023 12:38:36.18700;-0,001266613;-0,00262882;0,001648987
29.11.2023 12:38:36.18800;-0,000477967;-0,002939499;0,0014578
29.11.2023 12:38:36.18900;-0,001147121;-0,002222548;0,002198649
29.11.2023 12:38:36.19000;-0,001959666;-0,000836443;0,002796108
29.11.2023 12:38:36.19100;-0,002557125;0,000501866;0,003226279
29.11.2023 12:38:36.19200;-0,003584754;0,000621357;0,003919331
29.11.2023 12:38:36.19300;-0,003680348;-0,000119492;0,004612384
29.11.2023 12:38:36.19400;-0,001911869;-0,00117102;0,005185944
29.11.2023 12:38:36.19500;-0,00014339;-0,002318141;0,004803571
29.11.2023 12:38:36.19600;0,000740849;-0,002724413;0,003632551
29.11.2023 12:38:36.19700;0,001577292;-0,00262882;0,003752043
29.11.2023 12:38:36.19800;0,001075426;-0,002174751;0,005162046
29.11.2023 12:38:36.19900;-0,00102763;-0,001123223;0,006189676
29.11.2023 12:38:36.20000;-0,002652718;0;0,006380863
29.11.2023 12:38:36.20100;-0,00394323;0,000454069;0,007026119
29.11.2023 12:38:36.20200;-0,004492892;0,00014339;0,007838663
29.11.2023 12:38:36.20300;-0,003202381;-0,000621357;0,007097813
29.11.2023 12:38:36.20400;-0,001672885;-0,001529495;0,005377132
29.11.2023 12:38:36.20500;-0,000501866;-0,002509328;0,004134417
29.11.2023 12:38:36.20600;0,00014339;-0,003560856;0,004062722
29.11.2023 12:38:36.20700;-4,78E-05;-0,003919331;0,004899164
29.11.2023 12:38:36.20800;-0,001003731;-0,003154584;0,005496623
29.11.2023 12:38:36.20900;-0,002939499;-0,002174751;0,007241204
29.11.2023 12:38:36.21000;-0,004206112;-0,001672885;0,0102046
29.11.2023 12:38:36.21100;-0,005185944;-0,00117102;0,01137562
29.11.2023 12:38:36.21200;-0,00540103;-0,001266613;0,010849856
29.11.2023 12:38:36.21300;-0,003417466;-0,002079158;0,010395788
29.11.2023 12:38:36.21400;-0,001696784;-0,002748312;0,009774431
29.11.2023 12:38:36.21500;-0,001194918;-0,003321872;0,008436122
29.11.2023 12:38:36.21600;-0,001672885;-0,003321872;0,007432391
29.11.2023 12:38:36.21700;-0,003441364;-0,002413735;0,006691542
29.11.2023 12:38:36.21800;-0,005735607;-0,00131441;0,006404761
29.11.2023 12:38:36.21900;-0,007026119;-0,000597459;0,00714561
29.11.2023 12:38:36.22000;-0,007050017;-0,00014339;0,006787135
29.11.2023 12:38:36.22100;-0,006811033;-0,000382374;0,005448827
29.11.2023 12:38:36.22200;-0,005305436;-0,001194918;0,00451679
29.11.2023 12:38:36.22300;-0,003082889;-0,002413735;0,003441364
29.11.2023 12:38:36.22400;-0,001887971;-0,003369669;0,002150853
29.11.2023 12:38:36.22500;-0,001242715;-0,00305899;0,000836443
29.11.2023 12:38:36.22600;-0,001410003;-0,002413735;-0,000238984
29.11.2023 12:38:36.22700;-0,002318141;-0,001266613;-0,000573561
29.11.2023 12:38:36.22800;-0,003297974;-4,78E-05;-0,000645256
29.11.2023 12:38:36.22900;-0,003632551;0,000525764;-0,001696784
29.11.2023 12:38:36.23000;-0,002867803;0,000621357;-0,002796108
29.11.2023 12:38:36.23100;-0,001887971;-0,000167289;-0,003680348
29.11.2023 12:38:36.23200;7,17E-05;-0,000860341;-0,004994757
29.11.2023 12:38:36.23300;0,001911869;-0,001362207;-0,005209843
29.11.2023 12:38:36.23400;0,001625089;-0,001410003;-0,005353233
29.11.2023 12:38:36.23500;0,000549662;-0,000645256;-0,005592217
29.11.2023 12:38:36.23600;-0,001147121;-0,000262882;-0,004325604
29.11.2023 12:38:36.23700;-0,002533227;0,000119492;-0,003991026
29.11.2023 12:38:36.23800;-0,002604922;0,001075426;-0,005974591
29.11.2023 12:38:36.23900;-0,001792377;0,001290512;-0,008244935
29.11.2023 12:38:36.24000;0,000334577;0,000597459;-0,009392057
29.11.2023 12:38:36.24100;0,002198649;-0,000167289;-0,010371889
29.11.2023 12:38:36.24200;0,003154584;-0,000955935;-0,012068673
29.11.2023 12:38:36.24300;0,003536958;-0,001075426;-0,012379352
29.11.2023 12:38:36.24400;0,002724413;-0,000812544;-0,010300194
29.11.2023 12:38:36.24500;0,001147121;-0,000310679;-0,00786256
29.11.2023 12:38:36.24600;-0,000669154;0,000836443;-0,005783404
29.11.2023 12:38:36.24700;-0,0014578;0,001625089;-0,004277807
29.11.2023 12:38:36.24800;-0,001935767;0,001768479;-0,004325604
29.11.2023 12:38:36.24900;-0,001816276;0,001218816;-0,004588485
29.11.2023 12:38:36.25000;9,56E-05;7,17E-05;-0,004540689
29.11.2023 12:38:36.25100;0,0014578;-0,000764748;-0,006356965
29.11.2023 12:38:36.25200;0,00174458;-0,000955935;-0,00831663
29.11.2023 12:38:36.25300;0,000812544;-0,000884239;-0,007958155
29.11.2023 12:38:36.25400;-0,001075426;-0,00028678;-0,006763236
29.11.2023 12:38:36.25500;-0,002581023;0,000836443;-0,005759505
29.11.2023 12:38:36.25600;-0,003823738;0,001696784;-0,005233741
29.11.2023 12:38:36.25700;-0,00394323;0,002246446;-0,004325604
29.11.2023 12:38:36.25800;-0,003632551;0,001840174;-0,003465262
29.11.2023 12:38:36.25900;-0,003035092;0,000669154;-0,003967128
29.11.2023 12:38:36.26000;-0,000812544;-4,78E-05;-0,004397299
29.11.2023 12:38:36.26100;0,000884239;-0,000812544;-0,004946961
29.11.2023 12:38:36.26200;0,000932036;-0,00102763;-0,004636283
29.11.2023 12:38:36.26300;0,000549662;-0,000310679;-0,002509328
29.11.2023 12:38:36.26400;-0,000716951;0,001003731;-0,001194918
29.11.2023 12:38:36.26500;-0,002533227;0,002365938;-0,000812544
29.11.2023 12:38:36.26600;-0,003560856;0,003154584;0,00014339
29.11.2023 12:38:36.26700;-0,003584754;0,003250177;0,00102763
29.11.2023 12:38:36.26800;-0,002676616;0,002174751;0,000525764
29.11.2023 12:38:36.26900;-0,001194918;0,002533227;-0,001481698
29.11.2023 12:38:36.27000;0,000645256;0,002174751;-0,002843905
29.11.2023 12:38:36.27100;0,001720682;-0,00028678;-0,00262882
29.11.2023 12:38:36.27200;0,001529495;0,000310679;-0,002820007
29.11.2023 12:38:36.27300;0,000955935;0,001816276;-0,003154584
29.11.2023 12:38:36.27400;0,000382374;0,002413735;-0,00262882
29.11.2023 12:38:36.27500;0,000406272;0,003082889;-0,001768479
29.11.2023 12:38:36.27600;0,000932036;0,002867803;-0,000621357
29.11.2023 12:38:36.27700;0,001625089;0,002724413;-9,56E-05
29.11.2023 12:38:36.27800;0,002533227;0,002007462;-0,000573561
29.11.2023 12:38:36.27900;0,003274076;0,001362207;-0,000645256
29.11.2023 12:38:36.28000;0,003728145;0,00174458;0,000119492
29.11.2023 12:38:36.28100;0,003441364;0,001983564;0,000716951
29.11.2023 12:38:36.28200;0,002676616;0,002437633;0,000860341
29.11.2023 12:38:36.28300;0,001816276;0,003082889;0,000573561
29.11.2023 12:38:36.28400;0,000549662;0,003178482;0,000334577
29.11.2023 12:38:36.28500;0,00028678;0,002700515;0,000740849
29.11.2023 12:38:36.28600;0,001338308;0,001959666;0,000501866
29.11.2023 12:38:36.28700;0,002222548;0,001410003;-0,000262882
29.11.2023 12:38:36.28800;0,002820007;0,000669154;0,000167289
29.11.2023 12:38:36.28900;0,002700515;-0,000119492;0,001218816
29.11.2023 12:38:36.29000;0,002174751;-0,000334577;0,002461531
29.11.2023 12:38:36.29100;0,0014578;-0,000167289;0,00277221
29.11.2023 12:38:36.29200;0,000693053;4,78E-05;0,002437633
29.11.2023 12:38:36.29300;0,000501866;2,39E-05;0,003584754
29.11.2023 12:38:36.29400;0,000430171;-0,000430171;0,004468994
29.11.2023 12:38:36.29500;0,001242715;-0,000621357;0,004277807
29.11.2023 12:38:36.29600;0,002055259;-0,001075426;0,004206112
29.11.2023 12:38:36.29700;0,002079158;-0,002103056;0,004755774
29.11.2023 12:38:36.29800;0,002270344;-0,002604922;0,00671544
29.11.2023 12:38:36.29900;0,001672885;-0,00277221;0,008890191
29.11.2023 12:38:36.30000;0,000860341;-0,002461531;0,010586975
29.11.2023 12:38:36.30100;-0,000119492;-0,001816276;0,012307657
29.11.2023 12:38:36.30200;-0,00131441;-0,001983564;0,01429122
29.11.2023 12:38:36.30300;-0,001553394;-0,002079158;0,015342748
29.11.2023 12:38:36.30400;-0,000908138;-0,002294243;0,013741558
29.11.2023 12:38:36.30500;0,000788646;-0,003250177;0,011542909
29.11.2023 12:38:36.30600;0,002246446;-0,004158315;0,01139952
29.11.2023 12:38:36.30700;0,002676616;-0,004134417;0,011614604
29.11.2023 12:38:36.30800;0,002820007;-0,003584754;0,011112738
29.11.2023 12:38:36.30900;0,002126954;-0,003345771;0,012092572
29.11.2023 12:38:36.31000;0,001075426;-0,002533227;0,014673594
29.11.2023 12:38:36.31100;0,000310679;-0,001768479;0,017326312
29.11.2023 12:38:36.31200;0;-0,001410003;0,018640723
29.11.2023 12:38:36.31300;0,000477967;-0,001266613;0,018831911
29.11.2023 12:38:36.31400;0,001290512;-0,001816276;0,019118691
29.11.2023 12:38:36.31500;0,001959666;-0,002198649;0,019596657
29.11.2023 12:38:36.31600;0,002461531;-0,002294243;0,019166486
29.11.2023 12:38:36.31700;0,002748312;-0,001887971;0,016991735
29.11.2023 12:38:36.31800;0,002198649;-0,001338308;0,015772918
29.11.2023 12:38:36.31900;0,001147121;-0,000979833;0,015940208
29.11.2023 12:38:36.32000;7,17E-05;-0,000334577;0,015127664
29.11.2023 12:38:36.32100;-0,000932036;-4,78E-05;0,01400444
29.11.2023 12:38:36.32200;-0,000621357;-0,000238984;0,012952913
29.11.2023 12:38:36.32300;0,000501866;-0,000764748;0,012092572
29.11.2023 12:38:36.32400;0,001147121;-0,001051528;0,011423417
29.11.2023 12:38:36.32500;0,001983564;-0,001051528;0,010467483
29.11.2023 12:38:36.32600;0,002413735;-0,001218816;0,009654938
29.11.2023 12:38:36.32700;0,001720682;-0,001003731;0,009081378
29.11.2023 12:38:36.32800;0,000549662;-0,000621357;0,008794597
29.11.2023 12:38:36.32900;-0,000382374;-0,000262882;0,008651207
29.11.2023 12:38:36.33000;-0,00102763;-0,000167289;0,007073915
29.11.2023 12:38:36.33100;-0,00117102;-0,000382374;0,004803571
29.11.2023 12:38:36.33200;-0,000454069;-0,000740849;0,004468994
29.11.2023 12:38:36.33300;7,17E-05;-0,001410003;0,004206112
29.11.2023 12:38:36.33400;0,000167289;-0,00174458;0,002174751
29.11.2023 12:38:36.33500;-0,000119492;-0,001864072;0,000812544
29.11.2023 12:38:36.33600;-0,000836443;-0,002294243;0,000406272
29.11.2023 12:38:36.33700;-0,001505597;-0,002413735;-0,000549662
29.11.2023 12:38:36.33800;-0,002270344;-0,002150853;-0,002007462
29.11.2023 12:38:36.33900;-0,002413735;-0,001816276;-0,003584754
29.11.2023 12:38:36.34000;-0,001529495;-0,002126954;-0,004731876
29.11.2023 12:38:36.34100;-0,000764748;-0,002796108;-0,005759505
29.11.2023 12:38:36.34200;-9,56E-05;-0,002796108;-0,007456289
29.11.2023 12:38:36.34300;0,00028678;-0,003250177;-0,009105276
29.11.2023 12:38:36.34400;-0,000167289;-0,003393568;-0,009893922
29.11.2023 12:38:36.34500;-0,001075426;-0,002700515;-0,009941719
29.11.2023 12:38:36.34600;-0,002031361;-0,002294243;-0,009774431
29.11.2023 12:38:36.34700;-0,002461531;-0,001051528;-0,010682568
29.11.2023 12:38:36.34800;-0,002150853;-0,000238984;-0,011973079
