  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000036E+01  -0.1647884E-03   0.1000036E+01  -0.2876204E-05
 0.2099800E+00   0.1000036E+01  -0.1647884E-03   0.1000036E+01  -0.2876204E-05
 0.4000000E+00   0.1000132E+01  -0.6091603E-03   0.1000132E+01  -0.1063326E-04
 0.6000000E+00   0.1000297E+01  -0.1375026E-02   0.1000297E+01  -0.2400586E-04
 0.8000000E+00   0.1000530E+01  -0.2472677E-02   0.1000530E+01  -0.4317921E-04
 0.1000000E+01   0.1000832E+01  -0.3935419E-02   0.1000832E+01  -0.6874320E-04
 0.1200000E+01   0.1001211E+01  -0.5825323E-02   0.1001211E+01  -0.1017942E-03
 0.1400000E+01   0.1001672E+01  -0.8264446E-02   0.1001672E+01  -0.1444829E-03
 0.1600000E+01   0.1002231E+01  -0.1151140E-01   0.1002231E+01  -0.2013600E-03
 0.1800000E+01   0.1002917E+01  -0.1617591E-01   0.1002917E+01  -0.2831465E-03
 0.2000000E+01   0.1003793E+01  -0.2394842E-01   0.1003793E+01  -0.4195642E-03
 0.2200000E+01   0.1005020E+01  -0.4096469E-01   0.1005019E+01  -0.7185575E-03
 0.2400000E+01   0.1007027E+01  -0.1043389E+00   0.1007025E+01  -0.1833853E-02
 0.2600000E+01   0.1008339E+01  -0.3643034E+00   0.1008318E+01  -0.6411270E-02
 0.2800000E+01   0.9996324E+00  -0.3414732E+00   0.9996147E+00  -0.5957606E-02
 0.3000000E+01   0.1001625E+01  -0.1116702E+00   0.1001623E+01  -0.1952178E-02
 0.3200000E+01   0.1003562E+01  -0.6289093E-01   0.1003561E+01  -0.1101563E-02
 0.3400000E+01   0.1004982E+01  -0.5319928E-01   0.1004981E+01  -0.9331283E-03
 0.3600000E+01   0.1006239E+01  -0.5832425E-01   0.1006238E+01  -0.1024301E-02
 0.3800000E+01   0.1007327E+01  -0.8953836E-01   0.1007326E+01  -0.1574188E-02
 0.4000000E+01   0.1007143E+01  -0.1341384E+00   0.1007140E+01  -0.2357878E-02
 0.4200000E+01   0.1007359E+01  -0.7677190E-01   0.1007358E+01  -0.1349782E-02
 0.4400000E+01   0.1008317E+01  -0.5287372E-01   0.1008316E+01  -0.9304952E-03
 0.4600000E+01   0.1009175E+01  -0.4451967E-01   0.1009174E+01  -0.7841436E-03
 0.4800000E+01   0.1009908E+01  -0.3971505E-01   0.1009908E+01  -0.7000263E-03
 0.5000000E+01   0.1010536E+01  -0.3537679E-01   0.1010536E+01  -0.6239467E-03
 0.5200000E+01   0.1011061E+01  -0.3050117E-01   0.1011060E+01  -0.5382338E-03
 0.5400000E+01   0.1011477E+01  -0.2467359E-01   0.1011477E+01  -0.4355776E-03
 0.5600000E+01   0.1011775E+01  -0.1779945E-01   0.1011775E+01  -0.3143169E-03
 0.5800000E+01   0.1011947E+01  -0.1018754E-01   0.1011947E+01  -0.1799303E-03
 0.6000000E+01   0.1011989E+01  -0.2956078E-02   0.1011989E+01  -0.5221184E-04
 0.6200000E+01   0.1011908E+01   0.8619436E-03   0.1011908E+01   0.1522289E-04
 0.6400000E+01   0.1011723E+01  -0.6759234E-02   0.1011723E+01  -0.1193539E-03
 0.6600000E+01   0.1011394E+01  -0.4751837E-01   0.1011393E+01  -0.8388015E-03
 0.6800000E+01   0.1010252E+01  -0.1670991E+00   0.1010248E+01  -0.2946325E-02
 0.7000000E+01   0.1006366E+01  -0.3486429E+00   0.1006347E+01  -0.6123665E-02
 0.7200000E+01   0.9978153E+00  -0.5207790E+00   0.9977740E+00  -0.9069326E-02
 0.7400000E+01   0.9856941E+00  -0.2596348E+00   0.9856840E+00  -0.4466640E-02
 0.7600000E+01   0.9789538E+00   0.1934163E+00   0.9789482E+00   0.3304698E-02
 0.7800000E+01   0.9734279E+00   0.5379053E+00   0.9733850E+00   0.9138620E-02
 0.8000000E+01   0.9663943E+00   0.8427883E+00   0.9662898E+00   0.1421460E-01
 0.8200000E+01   0.9571524E+00   0.1178220E+01   0.9569500E+00   0.1968133E-01
 0.8400000E+01   0.9452884E+00   0.1594296E+01   0.9449224E+00   0.2629993E-01
 0.8600000E+01   0.9302936E+00   0.2144695E+01   0.9296420E+00   0.3481461E-01
 0.8800000E+01   0.9115152E+00   0.2906345E+01   0.9103428E+00   0.4621705E-01
 0.9000000E+01   0.8882287E+00   0.4005665E+01   0.8860589E+00   0.6204731E-01
 0.9200000E+01   0.8600503E+00   0.5662337E+01   0.8558538E+00   0.8485741E-01
 0.9400000E+01   0.8283869E+00   0.8219183E+01   0.8198781E+00   0.1184265E+00
 0.9600000E+01   0.7971929E+00   0.1194327E+02   0.7799360E+00   0.1649736E+00
 0.9800000E+01   0.7643473E+00   0.1716238E+02   0.7303127E+00   0.2255442E+00
 0.1000000E+02   0.7346906E+00   0.2589425E+02   0.6609289E+00   0.3208478E+00
 0.1020000E+02   0.7646422E+00   0.4020113E+02   0.5840210E+00   0.4935557E+00
 0.1040000E+02   0.9795861E+00   0.5443316E+02   0.5697785E+00   0.7968321E+00
 0.1060000E+02   0.1432714E+01   0.5649454E+02   0.7908818E+00   0.1194645E+01
 0.1080000E+02   0.1921631E+01   0.4617467E+02   0.1330657E+01   0.1386369E+01
 0.1100000E+02   0.2162616E+01   0.3240667E+02   0.1825822E+01   0.1159000E+01
 0.1120000E+02   0.2172100E+01   0.2166418E+02   0.2018671E+01   0.8018652E+00
 0.1140000E+02   0.2098421E+01   0.1464428E+02   0.2030252E+01   0.5305168E+00
 0.1160000E+02   0.2017040E+01   0.1017231E+02   0.1985334E+01   0.3562274E+00
 0.1180000E+02   0.1948588E+01   0.7243833E+01   0.1933036E+01   0.2457018E+00
 0.1200000E+02   0.1895556E+01   0.5247509E+01   0.1887612E+01   0.1733644E+00
 0.1220000E+02   0.1855907E+01   0.3827027E+01   0.1851768E+01   0.1238717E+00
 0.1240000E+02   0.1826986E+01   0.2773850E+01   0.1824845E+01   0.8841499E-01
 0.1260000E+02   0.1806536E+01   0.1962905E+01   0.1805476E+01   0.6187829E-01
 0.1280000E+02   0.1792831E+01   0.1316339E+01   0.1792358E+01   0.4118567E-01
 0.1300000E+02   0.1784592E+01   0.7836254E+00   0.1784425E+01   0.2440682E-01
 0.1320000E+02   0.1780880E+01   0.3304364E+00   0.1780850E+01   0.1027064E-01
 0.1340000E+02   0.1781002E+01  -0.6787997E-01   0.1781001E+01  -0.2110004E-02
 0.1360000E+02   0.1784441E+01  -0.4304158E+00   0.1784390E+01  -0.1340490E-01
 0.1380000E+02   0.1790788E+01  -0.7736009E+00   0.1790624E+01  -0.2417827E-01
 0.1400000E+02   0.1799663E+01  -0.1113395E+01   0.1799323E+01  -0.3496958E-01
 0.1420000E+02   0.1810590E+01  -0.1466256E+01   0.1809997E+01  -0.4632976E-01
 0.1440000E+02   0.1822816E+01  -0.1846368E+01   0.1821870E+01  -0.5873046E-01
 0.1460000E+02   0.1835212E+01  -0.2257730E+01   0.1833787E+01  -0.7229748E-01
 0.1480000E+02   0.1846192E+01  -0.2682537E+01   0.1844169E+01  -0.8640547E-01
 0.1500000E+02   0.1854263E+01  -0.3040522E+01   0.1851653E+01  -0.9835424E-01
 0.1520000E+02   0.1861724E+01  -0.3204352E+01   0.1858813E+01  -0.1040654E+00
