  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000495E+01  -0.2918022E-02   0.1000495E+01  -0.5095431E-04
 0.2099800E+00   0.1000495E+01  -0.2918022E-02   0.1000495E+01  -0.5095431E-04
 0.4000000E+00   0.1001818E+01  -0.1071804E-01   0.1001818E+01  -0.1874051E-03
 0.6000000E+00   0.1004066E+01  -0.2394914E-01   0.1004066E+01  -0.4196908E-03
 0.8000000E+00   0.1007215E+01  -0.4241685E-01   0.1007215E+01  -0.7456549E-03
 0.1000000E+01   0.1011264E+01  -0.6600064E-01   0.1011264E+01  -0.1164904E-02
 0.1200000E+01   0.1016209E+01  -0.9443606E-01   0.1016208E+01  -0.1674935E-02
 0.1400000E+01   0.1022032E+01  -0.1271526E+00   0.1022030E+01  -0.2268124E-02
 0.1600000E+01   0.1028692E+01  -0.1628781E+00   0.1028688E+01  -0.2924321E-02
 0.1800000E+01   0.1036094E+01  -0.1985421E+00   0.1036087E+01  -0.3590278E-02
 0.2000000E+01   0.1044008E+01  -0.2256316E+00   0.1044000E+01  -0.4111308E-02
 0.2200000E+01   0.1051869E+01  -0.2143178E+00   0.1051861E+01  -0.3934559E-02
 0.2400000E+01   0.1058596E+01  -0.1286281E-01   0.1058596E+01  -0.2376531E-03
 0.2600000E+01   0.1071607E+01   0.8995743E+00   0.1071475E+01   0.1682411E-01
 0.2800000E+01   0.1118696E+01   0.6423974E+00   0.1118626E+01   0.1254250E-01
 0.3000000E+01   0.1132621E+01  -0.2767308E+00   0.1132607E+01  -0.5470382E-02
 0.3200000E+01   0.1145823E+01  -0.6076614E+00   0.1145759E+01  -0.1215202E-01
 0.3400000E+01   0.1162459E+01  -0.7931412E+00   0.1162347E+01  -0.1609132E-01
 0.3600000E+01   0.1181820E+01  -0.9500263E+00   0.1181657E+01  -0.1959495E-01
 0.3800000E+01   0.1203441E+01  -0.1112647E+01   0.1203214E+01  -0.2336858E-01
