  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000059E+01  -0.2581359E-03   0.1000059E+01  -0.4505589E-05
 0.2099800E+00   0.1000059E+01  -0.2581359E-03   0.1000059E+01  -0.4505589E-05
 0.4000000E+00   0.1000218E+01  -0.9557297E-03   0.1000218E+01  -0.1668427E-04
 0.6000000E+00   0.1000489E+01  -0.2158388E-02   0.1000489E+01  -0.3768940E-04
 0.8000000E+00   0.1000870E+01  -0.3876709E-02   0.1000870E+01  -0.6772023E-04
 0.1000000E+01   0.1001365E+01  -0.6145690E-02   0.1001365E+01  -0.1074090E-03
 0.1200000E+01   0.1001977E+01  -0.9020731E-02   0.1001977E+01  -0.1577528E-03
 0.1400000E+01   0.1002714E+01  -0.1259771E-01   0.1002714E+01  -0.2204683E-03
 0.1600000E+01   0.1003587E+01  -0.1706355E-01   0.1003587E+01  -0.2988836E-03
 0.1800000E+01   0.1004619E+01  -0.2284459E-01   0.1004619E+01  -0.4005548E-03
 0.2000000E+01   0.1005856E+01  -0.3115108E-01   0.1005856E+01  -0.5468728E-03
 0.2200000E+01   0.1007424E+01  -0.4686792E-01   0.1007423E+01  -0.8240720E-03
 0.2400000E+01   0.1009599E+01  -0.1077468E+00   0.1009597E+01  -0.1898587E-02
 0.2600000E+01   0.1010268E+01  -0.3111629E+00   0.1010253E+01  -0.5486554E-02
 0.2800000E+01   0.1007537E+01  -0.1610865E+00   0.1007533E+01  -0.2832675E-02
 0.3000000E+01   0.1010028E+01  -0.9199481E-01   0.1010027E+01  -0.1621713E-02
 0.3200000E+01   0.1012401E+01  -0.8649754E-01   0.1012400E+01  -0.1528388E-02
 0.3400000E+01   0.1014768E+01  -0.9968273E-01   0.1014766E+01  -0.1765484E-02
 0.3600000E+01   0.1017372E+01  -0.1414451E+00   0.1017368E+01  -0.2511566E-02
 0.3800000E+01   0.1019375E+01  -0.2545435E+00   0.1019365E+01  -0.4528683E-02
 0.4000000E+01   0.1018286E+01  -0.2681237E+00   0.1018275E+01  -0.4765198E-02
 0.4200000E+01   0.1020673E+01  -0.1737603E+00   0.1020668E+01  -0.3095378E-02
 0.4400000E+01   0.1023643E+01  -0.1559001E+00   0.1023639E+01  -0.2785298E-02
 0.4600000E+01   0.1026568E+01  -0.1606332E+00   0.1026564E+01  -0.2878060E-02
 0.4800000E+01   0.1029535E+01  -0.1725581E+00   0.1029530E+01  -0.3100654E-02
 0.5000000E+01   0.1032614E+01  -0.1882795E+00   0.1032609E+01  -0.3393264E-02
 0.5200000E+01   0.1035848E+01  -0.2070109E+00   0.1035841E+01  -0.3742534E-02
 0.5400000E+01   0.1039272E+01  -0.2288667E+00   0.1039264E+01  -0.4151338E-02
 0.5600000E+01   0.1042925E+01  -0.2545889E+00   0.1042915E+01  -0.4634135E-02
 0.5800000E+01   0.1046856E+01  -0.2857943E+00   0.1046843E+01  -0.5221749E-02
 0.6000000E+01   0.1051134E+01  -0.3258675E+00   0.1051117E+01  -0.5978249E-02
 0.6200000E+01   0.1055862E+01  -0.3825391E+00   0.1055838E+01  -0.7049481E-02
 0.6400000E+01   0.1061154E+01  -0.4758233E+00   0.1061117E+01  -0.8812447E-02
 0.6600000E+01   0.1066720E+01  -0.6583642E+00   0.1066650E+01  -0.1225701E-01
 0.6800000E+01   0.1069988E+01  -0.9527432E+00   0.1069840E+01  -0.1779147E-01
 0.7000000E+01   0.1070119E+01  -0.1199059E+01   0.1069884E+01  -0.2239329E-01
 0.7200000E+01   0.1066712E+01  -0.1186802E+01   0.1066483E+01  -0.2209387E-01
 0.7400000E+01   0.1069246E+01  -0.8991191E+00   0.1069114E+01  -0.1677855E-01
 0.7600000E+01   0.1075776E+01  -0.7538597E+00   0.1075683E+01  -0.1415394E-01
 0.7800000E+01   0.1082894E+01  -0.7182313E+00   0.1082809E+01  -0.1357427E-01
 0.8000000E+01   0.1090108E+01  -0.7339700E+00   0.1090018E+01  -0.1396411E-01
 0.8200000E+01   0.1097520E+01  -0.7787330E+00   0.1097419E+01  -0.1491644E-01
 0.8400000E+01   0.1105281E+01  -0.8462998E+00   0.1105160E+01  -0.1632520E-01
 0.8600000E+01   0.1113519E+01  -0.9382393E+00   0.1113370E+01  -0.1823347E-01
 0.8800000E+01   0.1122262E+01  -0.1061531E+01   0.1122069E+01  -0.2079119E-01
 0.9000000E+01   0.1131197E+01  -0.1211944E+01   0.1130944E+01  -0.2392575E-01
 0.9200000E+01   0.1140725E+01  -0.1311731E+01   0.1140426E+01  -0.2611350E-01
 0.9400000E+01   0.1155860E+01  -0.1345903E+01   0.1155541E+01  -0.2714917E-01
 0.9600000E+01   0.1180472E+01  -0.1864314E+01   0.1179848E+01  -0.3840392E-01
 0.9800000E+01   0.1199966E+01  -0.3215840E+01   0.1198077E+01  -0.6731515E-01
 0.1000000E+02   0.1202688E+01  -0.5047759E+01   0.1198024E+01  -0.1058198E+00
 0.1020000E+02   0.1182539E+01  -0.6634153E+01   0.1174620E+01  -0.1366178E+00
 0.1040000E+02   0.1152323E+01  -0.7395265E+01   0.1142738E+01  -0.1483197E+00
 0.1060000E+02   0.1117679E+01  -0.7261855E+01   0.1108714E+01  -0.1412794E+00
 0.1080000E+02   0.1095488E+01  -0.5934962E+01   0.1089616E+01  -0.1132729E+00
 0.1100000E+02   0.1095916E+01  -0.4530897E+01   0.1092491E+01  -0.8657371E-01
 0.1120000E+02   0.1105097E+01  -0.3589421E+01   0.1102929E+01  -0.6918596E-01
 0.1140000E+02   0.1117106E+01  -0.2878584E+01   0.1115697E+01  -0.5610068E-01
 0.1160000E+02   0.1132299E+01  -0.2367938E+01   0.1131332E+01  -0.4678268E-01
 0.1180000E+02   0.1148768E+01  -0.2073751E+01   0.1148015E+01  -0.4156917E-01
 0.1200000E+02   0.1165187E+01  -0.1932244E+01   0.1164525E+01  -0.3928734E-01
 0.1220000E+02   0.1181347E+01  -0.1887212E+01   0.1180706E+01  -0.3890425E-01
 0.1240000E+02   0.1197433E+01  -0.1907523E+01   0.1196769E+01  -0.3985825E-01
 0.1260000E+02   0.1213711E+01  -0.1978973E+01   0.1212987E+01  -0.4191276E-01
 0.1280000E+02   0.1230455E+01  -0.2098010E+01   0.1229631E+01  -0.4504575E-01
 0.1300000E+02   0.1247934E+01  -0.2269403E+01   0.1246956E+01  -0.4941596E-01
 0.1320000E+02   0.1266407E+01  -0.2506888E+01   0.1265195E+01  -0.5539198E-01
 0.1340000E+02   0.1286080E+01  -0.2836646E+01   0.1284504E+01  -0.6364626E-01
