  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000060E+01  -0.2669440E-03   0.1000060E+01  -0.4659330E-05
 0.2099800E+00   0.1000060E+01  -0.2669440E-03   0.1000060E+01  -0.4659330E-05
 0.4000000E+00   0.1000220E+01  -0.9881928E-03   0.1000220E+01  -0.1725102E-04
 0.6000000E+00   0.1000494E+01  -0.2231440E-02   0.1000494E+01  -0.3896521E-04
 0.8000000E+00   0.1000879E+01  -0.4007634E-02   0.1000879E+01  -0.7000787E-04
 0.1000000E+01   0.1001378E+01  -0.6353236E-02   0.1001378E+01  -0.1110377E-03
 0.1200000E+01   0.1001997E+01  -0.9326449E-02   0.1001997E+01  -0.1631023E-03
 0.1400000E+01   0.1002741E+01  -0.1302894E-01   0.1002741E+01  -0.2280213E-03
 0.1600000E+01   0.1003624E+01  -0.1766113E-01   0.1003624E+01  -0.3093620E-03
 0.1800000E+01   0.1004668E+01  -0.2368663E-01   0.1004668E+01  -0.4153396E-03
 0.2000000E+01   0.1005924E+01  -0.3244853E-01   0.1005924E+01  -0.5696886E-03
 0.2200000E+01   0.1007525E+01  -0.4955790E-01   0.1007525E+01  -0.8714575E-03
 0.2400000E+01   0.1009700E+01  -0.1193395E+00   0.1009698E+01  -0.2103070E-02
 0.2600000E+01   0.1009772E+01  -0.3314740E+00   0.1009755E+01  -0.5841812E-02
 0.2800000E+01   0.1007758E+01  -0.1515811E+00   0.1007754E+01  -0.2666110E-02
 0.3000000E+01   0.1010229E+01  -0.9179397E-01   0.1010227E+01  -0.1618493E-02
 0.3200000E+01   0.1012589E+01  -0.8876755E-01   0.1012588E+01  -0.1568790E-02
 0.3400000E+01   0.1014976E+01  -0.1039899E+00   0.1014974E+01  -0.1842146E-02
 0.3600000E+01   0.1017588E+01  -0.1521810E+00   0.1017584E+01  -0.2702769E-02
 0.3800000E+01   0.1019332E+01  -0.2732937E+00   0.1019320E+01  -0.4862066E-02
 0.4000000E+01   0.1018424E+01  -0.2498595E+00   0.1018414E+01  -0.4441200E-02
 0.4200000E+01   0.1021002E+01  -0.1714202E+00   0.1020998E+01  -0.3054679E-02
 0.4400000E+01   0.1023966E+01  -0.1584961E+00   0.1023962E+01  -0.2832572E-02
 0.4600000E+01   0.1026897E+01  -0.1647729E+00   0.1026893E+01  -0.2953177E-02
 0.4800000E+01   0.1029885E+01  -0.1776031E+00   0.1029880E+01  -0.3192390E-02
 0.5000000E+01   0.1032993E+01  -0.1941274E+00   0.1032987E+01  -0.3499942E-02
 0.5200000E+01   0.1036263E+01  -0.2137233E+00   0.1036256E+01  -0.3865435E-02
 0.5400000E+01   0.1039731E+01  -0.2366133E+00   0.1039722E+01  -0.4293743E-02
 0.5600000E+01   0.1043436E+01  -0.2636846E+00   0.1043425E+01  -0.4802046E-02
 0.5800000E+01   0.1047430E+01  -0.2968300E+00   0.1047416E+01  -0.5426354E-02
 0.6000000E+01   0.1051787E+01  -0.3400588E+00   0.1051769E+01  -0.6242473E-02
 0.6200000E+01   0.1056615E+01  -0.4027174E+00   0.1056589E+01  -0.7426613E-02
 0.6400000E+01   0.1061996E+01  -0.5093095E+00   0.1061954E+01  -0.9440094E-02
 0.6600000E+01   0.1067347E+01  -0.7184191E+00   0.1067263E+01  -0.1338287E-01
 0.6800000E+01   0.1069842E+01  -0.1007189E+01   0.1069676E+01  -0.1880553E-01
 0.7000000E+01   0.1069209E+01  -0.1232187E+01   0.1068962E+01  -0.2299234E-01
 0.7200000E+01   0.1066507E+01  -0.1120322E+01   0.1066304E+01  -0.2085242E-01
 0.7400000E+01   0.1070406E+01  -0.8600763E+00   0.1070285E+01  -0.1606744E-01
 0.7600000E+01   0.1077142E+01  -0.7479918E+00   0.1077050E+01  -0.1406161E-01
 0.7800000E+01   0.1084261E+01  -0.7276928E+00   0.1084174E+01  -0.1377043E-01
 0.8000000E+01   0.1091499E+01  -0.7516526E+00   0.1091405E+01  -0.1431876E-01
 0.8200000E+01   0.1098976E+01  -0.8026277E+00   0.1098868E+01  -0.1539450E-01
 0.8400000E+01   0.1106836E+01  -0.8765653E+00   0.1106706E+01  -0.1693276E-01
 0.8600000E+01   0.1115189E+01  -0.9764606E+00   0.1115027E+01  -0.1900463E-01
