Zeit in UTC+02:00;X in mm/s;Y in mm/s;Z in mm/s
01.08.2023 08:44:16.66900;0,003465262474492;-0,000143390163430;0,005257639568299
01.08.2023 08:44:16.67000;0,003369668964297;-0,000645255786367;0,005544420331717
01.08.2023 08:44:16.67100;0,003154583740979;-0,000740849238355;0,005401029717177
01.08.2023 08:44:16.67200;0,003393567632884;-0,000884239387233;0,004206112120301
01.08.2023 08:44:16.67300;0,003584754187614;-0,001171019743197;0,003847636515275
01.08.2023 08:44:16.67400;0,003536957548931;-0,000836442690343;0,003369668964297
01.08.2023 08:44:16.67500;0,003871534718201;-0,000860341067892;0,003274075686932
01.08.2023 08:44:16.67600;0,004038823302835;-0,001362206647173;0,003752042772248
01.08.2023 08:44:16.67700;0,003823738079518;-0,001577291870490;0,002652718219906
01.08.2023 08:44:16.67800;0,003728144569322;-0,001816275529563;0,001959665678442
01.08.2023 08:44:16.67900;0,003728144569322;-0,001911869039759;0,002198649337515
01.08.2023 08:44:16.68000;0,003584754187614;-0,001911869039759;0,000860341067892
01.08.2023 08:44:16.68100;0,003178482409567;-0,002222547773272;-0,000477967259940
01.08.2023 08:44:16.68200;0,003178482409567;-0,002246445976198;-0,000119491814985
01.08.2023 08:44:16.68300;0,003202380612493;-0,002198649337515;-0,001075426349416
01.08.2023 08:44:16.68400;0,003106787102297;-0,002628819784150;-0,002342039486393
01.08.2023 08:44:16.68500;0,003321872325614;-0,002700514858589;-0,002533226506785
01.08.2023 08:44:16.68600;0,003274075686932;-0,002772210165858;-0,003369668964297
01.08.2023 08:44:16.68700;0,002796108368784;-0,002963396953419;-0,003393567632884
01.08.2023 08:44:16.68800;0,001935767359100;-0,003058990463614;-0,003154583740979
01.08.2023 08:44:16.68900;0,000955934519880;-0,003417465835810;-0,003274075686932
01.08.2023 08:44:16.69000;-0,000047796725994;-0,003345770761371;-0,003345770761371
01.08.2023 08:44:16.69100;-0,000788645935245;-0,003345770761371;-0,003847636515275
01.08.2023 08:44:16.69200;-0,000932036142331;-0,003393567632884;-0,004206112120301
01.08.2023 08:44:16.69300;-0,001099324668758;-0,002963396953419;-0,004755774047226
01.08.2023 08:44:16.69400;-0,000955934519880;-0,002963396953419;-0,004684078972787
01.08.2023 08:44:16.69500;-0,000716950860806;-0,003417465835810;-0,003752042772248
01.08.2023 08:44:16.69600;-0,001147121307440;-0,003943229559809;-0,003704246133566
01.08.2023 08:44:16.69700;-0,001696783816442;-0,004516790155321;-0,003536957548931
01.08.2023 08:44:16.69800;-0,002413734560832;-0,005066453013569;-0,003035092027858
01.08.2023 08:44:16.69900;-0,002939498517662;-0,005640013609082;-0,003274075686932
01.08.2023 08:44:16.70000;-0,003321872325614;-0,005831200163811;-0,002652718219906
01.08.2023 08:44:16.70100;-0,003895433153957;-0,005448826588690;-0,001840173965320
01.08.2023 08:44:16.70200;-0,004014924634248;-0,005401029717177;-0,002389836357906
01.08.2023 08:44:16.70300;-0,003799839643762;-0,005448826588690;-0,002031360752881
01.08.2023 08:44:16.70400;-0,003417465835810;-0,005472725257277;-0,000979832839221
01.08.2023 08:44:16.70500;-0,003297973889858;-0,005783403757960;-0,001003731158562
01.08.2023 08:44:16.70600;-0,002843905007467;-0,005926793906838;-0,000740849238355
01.08.2023 08:44:16.70700;-0,002318141283467;-0,006022387649864;-0,000549662334379
01.08.2023 08:44:16.70800;-0,002628819784150;-0,006261370610446;-0,000716950860806
01.08.2023 08:44:16.70900;-0,002963396953419;-0,006261370610446;-0,000382373807952
01.08.2023 08:44:16.71000;-0,003393567632884;-0,006094082258642;-0,000167288526427
01.08.2023 08:44:16.71100;-0,003847636515275;-0,005878997035325;0,000358475430403
01.08.2023 08:44:16.71200;-0,003752042772248;-0,005281538236886;0,000621357408818
01.08.2023 08:44:16.71300;-0,003823738079518;-0,004612384364009;0,000908137764782
01.08.2023 08:44:16.71400;-0,004110518377274;-0,004206112120301;0,001768478774466
01.08.2023 08:44:16.71500;-0,004086619708687;-0,003728144569322;0,001983564114198
01.08.2023 08:44:16.71600;-0,004373400472105;-0,003584754187614;0,002461531199515
01.08.2023 08:44:16.71700;-0,004875265993178;-0,003728144569322;0,002055259188637
01.08.2023 08:44:16.71800;-0,005090351216495;-0,003536957548931;0,001362206647173
01.08.2023 08:44:16.71900;-0,005520521663129;-0,003441364271566;0,002079157624394
01.08.2023 08:44:16.72000;-0,005878997035325;-0,003202380612493;0,001959665678442
